EXP 1														
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
36	10325.7	0.93934	2.20354	1.09019	0.86642	0.88046	0.92058	0.7575	0.77553	1.70735	1.18981	0.000376885	0.000376885	0.000376885
37	10615.5	0.93422	2.14875	1.09151	0.87483	0.88593	0.93631	0.76706	0.75968	1.68703	1.1848	0.000352037	0.000352037	0.000352037
38	10900.2	0.93012	2.12637	1.08981	0.83198	0.90361	0.92524	0.76597	0.75408	1.65475	1.18041	0.000327608	0.000327608	0.000327608
39	11185.3	0.91962	2.10245	1.07675	0.83753	0.88406	0.92463	0.75077	0.82734	1.80838	1.228	0.000303665	0.000303665	0.000303665
40	11471.2	0.91645	2.06209	1.08337	0.86572	0.8948	0.93769	0.7754	0.71494	1.54663	1.13624	0.000280275	0.000280275	0.000280275
41	11758.3	0.89772	1.99857	1.07275	0.86697	0.89514	0.93561	0.77562	0.72897	1.54722	1.14731	0.0002575	0.0002575	0.0002575
42	12049.4	0.89571	1.99273	1.0724	0.89311	0.88895	0.92546	0.7606	0.77143	1.57594	1.18421	0.000235404	0.000235404	0.000235404
43	12333.7	0.88855	1.97376	1.06365	0.88022	0.90609	0.93293	0.78023	0.72977	1.52382	1.14937	0.000214046	0.000214046	0.000214046
44	12620.6	0.87539	1.90003	1.05299	0.86048	0.91793	0.93161	0.7698	0.76789	1.4869	1.17377	0.000193486	0.000193486	0.000193486
45	12907.4	0.87185	1.91983	1.061	0.89227	0.89361	0.93429	0.78088	0.71478	1.45464	1.1314	0.00017378	0.00017378	0.00017378
46	13196	0.85874	1.87669	1.04576	0.91113	0.87689	0.94333	0.78704	0.70667	1.39805	1.12998	0.000154982	0.000154982	0.000154982
47	13479.8	0.85007	1.86144	1.04965	0.8886	0.89847	0.93609	0.78296	0.70287	1.41311	1.1194	0.000137143	0.000137143	0.000137143
48	13764.3	0.86145	1.8457	1.05231	0.91674	0.87072	0.93887	0.78541	0.69797	1.38516	1.10249	0.000120313	0.000120313	0.000120313
49	14050.5	0.83661	1.77898	1.03533	0.88231	0.91777	0.94582	0.79868	0.67986	1.34302	1.1026	0.000104537	0.000104537	0.000104537
50	14339.1	0.82972	1.79909	1.03748	0.86017	0.92769	0.93978	0.7848	0.71049	1.35447	1.11696	8.99E-05	8.99E-05	8.99E-05
51	14643.4	0.7183	1.39094	1.02727	0.88497	0.90241	0.94018	0.78957	0.68908	1.32901	1.10409	7.63E-05	7.63E-05	7.63E-05
52	14928.2	0.71298	1.36099	1.02756	0.90223	0.90365	0.94063	0.78986	0.68052	1.30123	1.09614	6.40E-05	6.40E-05	6.40E-05
53	15213.6	0.70402	1.33257	1.02559	0.89291	0.90897	0.94367	0.79935	0.68176	1.28228	1.10401	5.28E-05	5.28E-05	5.28E-05
54	15502.3	0.70046	1.3116	1.0154	0.92477	0.89399	0.94191	0.79891	0.66678	1.25857	1.08787	4.29E-05	4.29E-05	4.29E-05
55	15787.3	0.69311	1.30829	1.01558	0.88281	0.91137	0.94	0.79626	0.65539	1.24178	1.07609	3.42E-05	3.42E-05	3.42E-05
56	16082.2	0.69192	1.27071	1.01446	0.88289	0.91512	0.94485	0.80403	0.66353	1.23865	1.08633	2.69E-05	2.69E-05	2.69E-05
57	16370.6	0.68618	1.27462	1.01274	0.93093	0.88714	0.94589	0.80194	0.67459	1.22644	1.09501	2.08E-05	2.08E-05	2.08E-05
58	16654	0.67939	1.24986	1.00714	0.87465	0.92515	0.94673	0.7998	0.68467	1.2432	1.10091	1.61E-05	1.61E-05	1.61E-05
59	16935.8	0.67763	1.24659	1.00267	0.87807	0.92603	0.94759	0.79808	0.678	1.23982	1.09093	1.27E-05	1.27E-05	1.27E-05
60	17221.3	0.67943	1.25444	1.00593	0.91987	0.89733	0.94615	0.79979	0.66013	1.22123	1.07991	1.07E-05	1.07E-05	1.07E-05
														
EXP 4														
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
1	262.355	2.62706	12.1341	2.22154	0.38302	0.19244	0.12328	0.06559	1.99514	13.5866	2.2164	0.0670405	0.000332924	0.000332924
2	508.889	1.77125	7.88774	1.59986	0.47492	0.26978	0.28404	0.1753	1.55378	7.11554	1.82666	0.0340399	0.000665606	0.000665606
3	748.296	1.61595	6.55718	1.46745	0.58211	0.38039	0.41654	0.23176	1.55762	6.74469	1.89952	0.00103664	0.000995689	0.000995689
4	986.636	1.50918	5.83606	1.41851	0.61882	0.39755	0.4944	0.34864	1.24373	5.19505	1.62596	0.000991232	0.000991232	0.000991232
5	1225.97	1.44619	5.26449	1.37636	0.59949	0.56377	0.64075	0.43203	1.27457	4.31203	1.6092	0.000984449	0.000984449	0.000984449
6	1465.95	1.39682	4.78435	1.34072	0.52176	0.60318	0.60986	0.41741	1.30144	4.49084	1.63615	0.000975773	0.000975773	0.000975773
7	1705.04	1.36225	4.42884	1.32109	0.67724	0.55773	0.66977	0.4761	1.22481	4.13219	1.6107	0.000965239	0.000965239	0.000965239
8	1944.32	1.3223	4.19263	1.30401	0.61821	0.68822	0.73864	0.53185	1.19025	3.91449	1.56369	0.000952889	0.000952889	0.000952889
